zmienna,chi2,p_value,stopnie_swobody
sh_per90,1266.5395315448393,1.896506226193766e-270,6
xg_per90,1111.7577981634465,5.961484944209846e-237,6
sot_per90,1102.4824957961198,6.056154587655365e-235,6
touches_per90,904.0413660780741,5.024812162305186e-192,6
gls_per90,769.852231889247,2.6014535358549068e-165,4
ga_per90,751.2793313569753,5.15930483836415e-159,6
tkl_int_per90,701.9165741584965,2.3588941008534097e-148,6
kp_per90,528.6186497000031,5.733237134427643e-111,6
prgp_per90,447.03391651711667,2.1344959541627153e-93,6
carries_per90,409.4570812442754,2.5887724355662125e-85,6
