,liczba,średnia,mediana,moda,minimum,maksimum,odchylenie_std,wariancja
tkl_int_per90,1827,2.462,2.428,2.5,0.156,7.031,1.09,1.188
ga_per90,1827,0.233,0.163,0.0,0.0,1.491,0.23,0.053
prgp_per90,1827,3.62,3.354,3.333,0.412,11.456,1.721,2.962
gls_per90,1827,0.137,0.079,0.0,0.0,1.149,0.172,0.029
xg_per90,1827,0.142,0.079,0.0,0.0,1.153,0.154,0.024
sh_per90,1827,1.254,0.962,0.0,0.0,5.0,0.925,0.855
sot_per90,1827,0.422,0.287,0.0,0.0,2.552,0.395,0.156
touches_per90,1827,55.537,55.377,45.0,18.662,122.373,16.121,259.875
kp_per90,1827,0.934,0.826,0.0,0.0,3.547,0.648,0.42
carries_per90,1827,30.738,29.302,20.0,8.0,77.357,10.633,113.068
